SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
9;9;Peygamberimizin Hayatı 9;3. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR HADİSE: HİCRET;PH.9.3.3. Medine’ye hicretin önemini sorgulayabilme;Video/Etkileşimli İçerik;"Hz. Peygamber'in hicret yolculuğunu ve Medine'ye varışını anlatan, Hz. Peygamber'in ve Hz. Ebu Bekir'in yaşadığı olayları ve Medinelilerin onları karşılama coşkusunu görsellerle anlatan video hazırlanır.
Medine’ye hicretin önemini ve sonuçlarını sorgulayan soru ve etkinliklerin yer aldığı etkileşimli içerik hazırlanır.";;
10;9;Peygamberimizin Hayatı 9;3. PEYGAMBERİMİZİN HAYATINDA ÖNEMLİ BİR HADİSE: HİCRET;PH.9.3.4. Hicret’ten sonra devletleşme sürecinde gerçekleşen faaliyetleri sınıflandırabilme;Video/Etkileşimli İçerik;"Hicret sonrası Medine'de yaşananları, toplumsal düzeni, ekonomik faaliyetleri ve siyasi gelişmeleri anlatan bir belgesel veya animasyon hazırlanır.
Hicret sonrası Medine'de gerçekleşen olayları (Mescid-i Nebevi'nin inşası, Akabe Biatları, Medine Vesikası, Bedir Savaşı vb.) kronolojik sırayla gösteren, her olaya tıklandığında detaylı bilgi, görsel veya kısa videolar sunan bir zaman çizelgesi hazırlanır.";;
11;9;Peygamberimizin Hayatı 9;4. EN YÜCE DOSTA;PH.9.4.1. Hz. Peygamber’in hastalanmasından vefat etmesine kadar geçen süreçteki or-tamla tarihsel empati kurabilme;Etkileşimli  İçerik/Video/Ses;"Veda Haccı'nın gerçekleştiği Mekke ve çevresini, Hz. Peygamber'in veda konuşmasını yaptığı Arafat Dağı'nı, Mina'yı ve diğer önemli yerleri 360 derece sanal tur ile gösteren etkileşimli içerik hazırlanır.
Hz. Peygamber'in veda konuşmasının orijinal Arapça metnini ve Türkçe çevirisini içeren bir ses/video hazırlanır.";;
1;4;Sosyal Bilgiler 4;1. BİRLİKTE YAŞAMAK;SB.4.1.1. Sosyal bilgiler dersinin hayatına sunacağı katkıları yorumlayabilme;Video/Etkileşimli İçerik;"Sosyal bilgiler dersinin günlük yaşama nasıl katkıda bulunabileceğine ve gelecekte sağlayacağı katkılara ilişkin video veya animasyon hazırlanır.
Öğrencilerin sosyal bilgiler dersinin önemini ve hayatlarına katkılarını yorumlayabileceği etkileşimli içerik hazırlanır.";;
2;4;Sosyal Bilgiler 4;1. BİRLİKTE YAŞAMAK;SB.4.1.2. Bireysel özelliklere saygı duymanın önemine ilişkin çıkarım yapabilme;Video/Etkileşimli İçerik;"Öğrencilerin ilgi alanlarını, güçlü ve geliştirilebilir yanlarını fark edebilecekleri, hayatlarında hoşlandıkları ve hoşlanmadıkları şeyleri ifade edebilecekleri video hazırlanır.
Öğrencilerin farklılıklara saygı duymanın toplum hayatı ve bireysel ilişkiler için önemini kavrayabileceği ve çıkarımlar yapabileceği etkileşimli bir oyun veya hikaye hazırlanır.";;
3;4;Sosyal Bilgiler 4;1. BİRLİKTE YAŞAMAK;SB.4.1.3. Toplumsal birliği sürdürmeye yönelik fikir üretebilme;Video/Etkileşimli İçerik;Toplumsal birliği sürdürmek için dikkat edilmesi gerekenlere dair farkındalıklarını artırıcı animasyon veya etkileşimli içerik hazırlanır.;;
4;4;Sosyal Bilgiler 4;2. EVİMİZ DÜNYA;SB.4.2.1. Konum ve yön bulurken haritaları kullanabilme;Etkileşimli İçerik;Harita üzerinde yer alan farklı şehirleri ana ve ara yönler aracılığıyla tarif etme, dünya haritası veya yerküre modeli üzerinde Türkiye’nin konumunu bulma konusuyla ilgili etkileşimli içerik hazırlanır.;;
5;4;Sosyal Bilgiler 4;2. EVİMİZ DÜNYA;SB.4.2.2. Yakın çevresinden hareketle doğa ve insan ilişkisini çözümleyebilme;Video/Etkileşimli İçerik;"Doğal dengenin korunması için insanların nelere dikkat etmesi gerektiği ile ilgili video veya animasyon hazırlanır.
Öğrencilerin yaşadıkları çevredeki doğa ve insan etkileşimini inceleyebileceği ve çevre sorunlarına çözüm önerileri geliştirebileceği etkileşimli oyun hazırlanır.";;
6;4;Sosyal Bilgiler 4;2. EVİMİZ DÜNYA;SB.4.2.3. Afetlerin etkilerini azaltma konusunda yapılabileceklere ilişkin oluşturduğu ürünü paylaşabilme;Video/Etkileşimli İçerik;Deprem, sel, yangın gibi doğal afetleri tanıtan, afetlerden önce, afet sırasında ve afet sonrasında yapılması gerekenleri anlatan bir video veya etkileşimli içerik hazırlanır.;;
7;4;Sosyal Bilgiler 4;3. ORTAK MİRASIMIZ;SB.4.3.1. Geçmişten günümüze çocuk oyun ve oyuncaklarının değişimini karşılaştırabilme;Video/Etkileşimli İçerik;"Geçmişte çocukların oynadığı oyunları ve oyuncakları, günümüzdeki oyun ve oyuncakları karşılaştıran, teknolojinin oyunlar ve oyuncaklar üzerindeki etkisini ele alan bir video hazırlanır.
Öğrencilerin geçmiş ve günümüzdeki oyun ve oyuncakları karşılaştırabileceği ve değişimleri analiz edebileceği etkileşimli bir zaman çizelgesi veya oyun hazırlanır.";;
8;4;Sosyal Bilgiler 4;3. ORTAK MİRASIMIZ;SB.4.3.2. Aile tarihini yansıtan bir ürün oluşturabilme;Video/Etkileşimli İçerik;"Aile büyüklerinin hayatlarını, anılarını, fotoğraflarını ve önemli belgelerini kullanarak aile tarihini araştırabilmeyi ve bu bilgileri kullanarak, fotoğraf albümü, hikaye gibi ürünler oluşturabilmeyi öğreten içerik hazırlanır.
Açıklamalı zaman şeridi hazırlanır.";;
9;4;Sosyal Bilgiler 4;3. ORTAK MİRASIMIZ;SB.4.3.3. Yakın çevresindeki ortak miras ögelerini tanımanın önemini yorumlayabilme;Video/Etkileşimli İçerik;"Ülkemizden bir ilin kültürel mirasını (tarihi eserler, gelenekler, görenekler, yemekler, müzik vb.) tanıtan ve ortak miras ögelerini (tarihi yapılar, müzeler, festivaller vb.) gösteren örnek bir video hazırlanır.
Öğrencilerin kültürel mirasın korunması ve gelecek nesillere aktarılmasının önemini yorumlayabileceği etkileşimli bir oyun veya sanal müze turu hazırlanır.";;
10;4;Sosyal Bilgiler 4;4. YAŞAYAN DEMOKRASİMİZ;SB.4.4.1. Cumhuriyetin ilanına giden yolda Mustafa Kemal Atatürk’ün ve Türk milletinin yaptığı fedakârlıkları yorumlayabilme;Video/Etkileşimli İçerik;"Kurtuluş Savaşı'nın zorlu koşullarını, Atatürk'ün liderliğini, Türk milletinin vatanı için gösterdiği kahramanlıkları ve fedakarlıkları anlatan bir video hazırlanır.
Öğrencilerin Kurtuluş Savaşı kahramanlarının hayatlarını ve mücadelelerini inceleyebileceği ve bu fedakarlıkların önemini yorumlayabileceği etkileşimli bir hikaye veya animasyon hazırlanır.";;
11;4;Sosyal Bilgiler 4;4. YAŞAYAN DEMOKRASİMİZ;SB.4.4.2. Cumhuriyetin getirdiği değişimlerin hayatımıza katkılarını yorumlayabilme;Video/Etkileşimli İçerik;"Cumhuriyetin ilanı ile birlikte Türkiye'de yaşanan değişimleri (eğitim, sağlık, kadın hakları, hukuk, ekonomi vb.) ve bu değişimlerin hayatımıza katkılarını anlatan bir video hazırlanır.
Öğrencilerin Cumhuriyetin değerlerini ve kazanımlarını anlayabileceği ve bu değerlerin önemini yorumlayabileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
12;4;Sosyal Bilgiler 4;4. YAŞAYAN DEMOKRASİMİZ;SB.4.4.3. Okulda karar alma ve demokratik katılım süreçlerine ilişkin fikir üretebilme;Video/Etkileşimli İçerik;"Okulda demokratik katılımın önemini, öğrencilerin fikirlerini ifade etme haklarını ve karar alma süreçlerine nasıl katılabileceklerini anlatan bir video hazırlanır.
Öğrencilerin okulda demokratik katılımı artırmak ve bu konuda çalışmalarını daha etkili hale getirmek için fikirler üretebileceği etkileşimli oyun hazırlanır.";;
13;4;Sosyal Bilgiler 4;5. HAYATIMIZDAKİ EKONOMİ;SB.4.5.1. Doğal kaynakların tüketimi ile ilgili grafik yorumlayabilme;Video/Etkileşimli İçerik;"Doğal kaynakların (su, orman, enerji kaynakları vb.) tüketimini gösteren grafikleri yorumlamayı öğreten bir video hazırlanır.
Öğrencilerin farklı grafik türlerini okuyabileceği ve yorumlayabileceği etkileşimli oyun hazırlanır.";;
14;4;Sosyal Bilgiler 4;5. HAYATIMIZDAKİ EKONOMİ;SB.4.5.2. İstek ve ihtiyaçları arasındaki bilinçli seçimleri hayatına yansıtabilme;Video/Etkileşimli İçerik;"İhtiyaç ve istek kavramlarını, bilinçli tüketim alışkanlıklarını, bütçe yapmayı ve tasarrufun önemini anlatan bir video hazırlanır.
Öğrencilerin ihtiyaç ve isteklerini ayırt edebileceği, bilinçli tüketim kararları alabileceği ve tasarruf alışkanlığı kazanabileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
15;4;Sosyal Bilgiler 4;5. HAYATIMIZDAKİ EKONOMİ;SB.4.5.3. Bir ürünün üretim, dağıtım ve tüketim süreçlerini çözümleyebilme;Video/Etkileşimli İçerik;"Bir ürünün hammadde aşamasından tüketiciye ulaşana kadar geçirdiği aşamaları (üretim, dağıtım, tüketim) anlatan bir video hazırlanır.
Öğrencilerin farklı ürünlerin üretim, dağıtım ve tüketim süreçlerini inceleyebileceği ve bu süreçlerdeki aşamaları anlayabileceği etkileşimli bir animasyon veya oyun hazırlanır.";;
16;4;Sosyal Bilgiler 4;6. TEKNOLOJİ VE SOSYAL BİLİMLER;SB.4.6.1. Çevrim içi ortamda uyulması gereken güvenlik kurallarını eylemlerine yansıtabilme;Video/Etkileşimli İçerik;Çevrim içi ortamlarda kişisel bilgilerin korunması, siber zorbalık, güvenilir kaynaklar ve şifre güvenliği gibi konuları anlatan bir video hazırlanır.;;
17;4;Sosyal Bilgiler 4;6. TEKNOLOJİ VE SOSYAL BİLİMLER;SB.4.6.2. Bilim insanlarının çocukluk hayatı ile kendi yaşamı arasında bağlantı kurabilme;Etkileşimli İçerik;Öğrencilerin bilim insanlarının hayatlarını inceleyerek kendi yaşamlarıyla benzerlikler kurabileceği ve ilham alabileceği etkileşimli hikaye veya oyun hazırlanır.;;
1;5;Sosyal Bilgiler 5;1. BİRLİKTE YAŞAMAK;SB.5.1.1. Dâhil olduğu gruplar ve bu gruplardaki rolleri arasındaki ilişkileri çözümleyebilme;Video/Etkileşimli İçerik;"Farklı yaş gruplarından çocukların ve gençlerin günlük yaşamda yer aldıkları grupları, bu gruplardaki rollerini ve gruplardaki sorumluluklarını nasıl yerine getirdikleri ve bu sorumlulukların onların gelişimine nasıl katkı sağladığını örneklerle anlatan bir video hazırlanır.
Farklı gruplarda yer alan bireylerin rollerini ve sorumluluklarını öğrencilerin keşfedebileceği bir sürükle bırak etkinliği hazırlanır.";;
2;5;Sosyal Bilgiler 5;1. BİRLİKTE YAŞAMAK;SB.5.1.2. Kültürel özelliklere saygı duymanın birlikte yaşamaya etkisini yorumlayabilme;Video/Etkileşimli İçerik;"Türkiye, KKTC ve diğer ülkelerin kültürel özelliklerini (yemekler, müzikler, gelenekler, kıyafetler vb.) tanıtan ve bu özelliklerin birlikte yaşamaya nasıl katkı sağladığını örneklerle açıklayan bir video hazırlanır.
Türkiye, KKTC ve diğer ülkelerin kültürel özellikleri (yemekler, müzikler, gelenekler, kıyafetler vb.) ile ilgili bilgiler ve görseller içeren etkileşimli bir harita hazırlanır.";;
3;5;Sosyal Bilgiler 5;2. EVİMİZ DÜNYA;SB.5.2.1. Yaşadığı ilin göreceli konum özelliklerini belirleyebilme;Video/Etkileşimli İçerik;"Tarihi güzelliklerimizin (tarihi mekân, eser ve nesne) korunmasını anlatan video hazırlanır.
Türkiye haritasından bir ilin göreceli konum özelliklerini keşfedebilecekleri bir etkileşimli harita uygulaması hazırlanır.";;
4;5;Sosyal Bilgiler 5;2. EVİMİZ DÜNYA;SB.5.2.2. Yaşadığı ilde doğal ve beşerî çevredeki değişimi neden ve sonuçlarıyla yorumlayabilme;Video/Etkileşimli İçerik;"Belirli bir ilin doğal ve beşeri çevresindeki değişimi, eski ve yeni fotoğraflar, videolar ve röportajlar aracılığıyla anlatan bir belgesel hazırlanır.
Bir ilin geçmişine ait fotoğraflar, eşyalar, belgeler ve hikâyelerin yer aldığı sanal ortamda gezinerek ilin geçmişini keşfedebileceği ve bugünkü haliyle karşılaştırabileceği sanal müze veya sergi hazırlanır.";;
5;5;Sosyal Bilgiler 5;2. EVİMİZ DÜNYA;SB.5.2.3. Yaşadığı ilde meydana gelebilecek afetlerin etkilerini azaltmaya yönelik farkındalık etkinlikleri düzenleyebilme;Video/Etkileşimli İçerik;"Ülkemizde görülen afetlerin ve afetlerin etkilerinden korunma yollarının anlatıldığı video hazırlanır.
Öğrencilerin afetlere hazırlık ve müdahale konusunda bilgi ve becerilerini geliştirebilecekleri bir etkileşimli oyun veya simülasyon hazırlanır.";;
6;5;Sosyal Bilgiler 5;2. EVİMİZ DÜNYA;SB.5.2.4. Ülkemize komşu devletler hakkında bilgi toplayabilme;Video/Etkileşimli İçerik;"Türkiye'nin komşu ülkelerinin coğrafi konumları, başkenti, önemli şehirleri, kültürel özellikleri, tarihi ve turistik yerleri gibi bilgileri, Türkiye ile komşu ülkeler arasındaki ilişkileri, ekonomik ve kültürel etkileşimleri anlatan video hazırlanır.
Türkiye haritası üzerinde komşu ülkelerin sınırlarını, başkentlerini, bayraklarını ve önemli şehirlerini gösteren harita üzerindeki ülkelere tıklandığında o ülkeye ait bilgilerin, fotoğrafların ve videoların görülebileceği bir etkileşimli içerik hazırlanır.";;
7;5;Sosyal Bilgiler 5;3. ORTAK MİRASIMIZ;SB.5.3.1. Yaşadığı ildeki ortak miras ögelerine ilişkin oluşturduğu ürünü paylaşabilme;Video/Etkileşimli İçerik;"Türkiye'deki UNESCO Dünya Mirası Listesi'nde yer alan somut ve somut olmayan kültürel miras ögelerini tanıtan bir belgesel video hazırlanır.
Türkiye haritası üzerinde UNESCO Dünya Mirası Listesi'nde yer alan somut ve somut olmayan kültürel miras ögeleri ile ilgili detaylı bilgilere ulaşılan etkileşimli harita hazırlanır.";;
8;5;Sosyal Bilgiler 5;3. ORTAK MİRASIMIZ;SB.5.3.2. Anadolu’da ilk yerleşimleri kuran toplumların sosyal hayatlarına yönelik bakış açısı geliştirebilme;Video/Etkileşimli İçerik;"Anadolu'daki ilk yerleşimlerde yaşayan insanların günlük yaşamlarını, beslenme alışkanlıklarını, barınma koşullarını ve temel geçim faaliyetlerini konu alan, karakterler aracılığıyla o dönemdeki yaşam koşulları canlandırılan ve günümüz insanlarının yaşamlarıyla karşılaştırmalar yapılan animasyon hazırlanır.
Anadolu'daki ilk yerleşimlerde yaşayan insanların beslenme, barınma ve temel geçim faaliyetlerini günümüz insanlarının hayatlarıyla karşılaştıran o dönemdeki yaşam koşullarıyla günümüz arasındaki benzerliklerin ve farklılıkların belirtilebileceği bir etkileşimli içerik hazırlanır.";;
9;5;Sosyal Bilgiler 5;3. ORTAK MİRASIMIZ;SB.5.3.3. Mezopotamya ve Anadolu medeniyetlerinin ortak mirasa katkılarını karşılaştırabilme;Etkileşimli İçerik;"Mezopotamya ve Anadolu medeniyetlerine ait eserlerin sergilendiği müzelerin gezilebileceği sanal müze hazırlanır.
Mezopotamya ve Anadolu medeniyetlerinin ortak mirasa katkılarını, farklı alanlarda (yazı, hukuk, sanat, mimari vb.) karşılaştırmaya yönelik içerik hazırlanır.";;
10;5;Sosyal Bilgiler 5;4. YAŞAYAN DEMOKRASİMİZ;SB.5.4.1. Demokrasi ve cumhuriyet kavramları arasındaki ilişkiyi çözümleyebilme;Etkileşimli İçerik;Demokrasi ve cumhuriyet kavramlarının arasındaki ilişkiyi çözümlemeye yönelik etkileşimli içerik hazırlanır.;;
11;5;Sosyal Bilgiler 5;4. YAŞAYAN DEMOKRASİMİZ;SB.5.4.2. Toplum düzenine etkisi bakımından etkin vatandaş olmanın önemine yönelik çıkarımda bulunabilme;Video/Etkileşimli İçerik;"Etkin vatandaşlığın önemini vurgulayan, farklı yaş gruplarından insanların günlük yaşamda etkin vatandaşlık davranışlarını sergilediği bir video hazırlanır.
Farklı senaryolarda etkin vatandaş ve etkin olmayan vatandaş rolleri ile ilgili etkileşimli içerik hazırlanır.";;
12;5;Sosyal Bilgiler 5;4. YAŞAYAN DEMOKRASİMİZ;SB.5.4.3. Temel insan hak ve sorumluluklarının önemini sorgulayabilme;Video/Etkileşimli İçerik;"Temel insan hakları ve sorumluluklarının önemini anlatan, ilgi çekici hikâyelerin yer aldığı video ya da animasyon hazırlanır.
Temel insan hakları ve sorumluluklarının önemini anlatan, ilgi çekici hikâyelerin yer aldığı etkileşimli dijital hikaye hazırlanır.";;
13;5;Sosyal Bilgiler 5;4. YAŞAYAN DEMOKRASİMİZ;SB.5.4.4. Bir ihtiyaç hâlinde veya sorun karşısında başvuru yapılabilecek kurumlar hakkında bilgi toplayabilme;Video/Etkileşimli İçerik;"Muhtarlık, belediye, kaymakamlık gibi kurumların görevleri ve hizmetleri ile başvuru yöntemlerinin verildiği video hazırlanır.
Muhtarlık, belediye, kaymakamlık gibi kurumların görevleri ve hizmetleri ile başvuru yöntemlerinin olduğu, farklı senaryolar üzerinden kullanıcıların doğru kuruma başvuru yapmayı öğrenebilecekleri interaktif bir oyun hazırlanır.";;
14;5;Sosyal Bilgiler 5;5. HAYATIMIZDAKİ EKONOMİ;SB.5.5.1. Kaynakları verimli kullanmanın doğa ve insanlar üzerindeki etkisini yorumlayabilme;Video/Etkileşimli İçerik;"Kaynakların (su, elektrik, kağıt vb.) verimli ve verimsiz kullanımı ile ilgili farklı senaryoları canlandıran kısa videolar hazırlanır.
Öğrencilerin farklı senaryolarda kaynakları (su, elektrik, kağıt vb.) verimli veya verimsiz kullanarak sonuçlarını görebilecekleri bir benzetim (simülasyon) hazırlanır.";;
15;5;Sosyal Bilgiler 5;5. HAYATIMIZDAKİ EKONOMİ;SB.5.5.2. İhtiyaç ve isteklerini karşılamak için gerekli bütçeyi planlayabilme;Video/Etkileşimli İçerik;"Bütçe planlama sürecini adım adım anlatan, öğrencilerin yaşlarına uygun bir karakter ile ihtiyaç ve isteklerini belirleyen, gelirini göz önünde bulundurarak bütçe planı yapan ve bu planı uygulayarak sonuçlarını değerlendiren video hazırlanır.
Öğrencilerin haftalık veya aylık gelirlerini (harçlık, bayram harçlığı vb.) girebilecekleri, gider kalemlerini (yiyecek, kırtasiye, eğlence vb.) belirleyebilecekleri ve bütçelerini görsel olarak takip edebilecekleri etkileşimli içerik hazırlanır.";;
16;5;Sosyal Bilgiler 5;5. HAYATIMIZDAKİ EKONOMİ;"SB.5.5.3. Yaşadığı ildeki ekonomik faaliyetleri
özetleyebilme";Video/Etkileşimli İçerik;"Yaşadığı ildeki ekonomik faaliyetleri (tarım, hayvancılık, sanayi, turizm vb.) interaktif bir harita
üzerinde gösteren etkileşimli içerik veya video hazırlanır.";;
17;5;Sosyal Bilgiler 5;6. TEKNOLOJİ ve SOSYAL BİLİMLER;SB.5.6.1.Teknolojik gelişmelerin toplum hayatına etkilerini tartışabilme;Video/Etkileşimli İçerik;"Teknolojik gelişmelerin kültür, ekonomi, eğitim, sağlık, iletişim ve ulaşım alanlarındaki etkilerini çeşitli örneklerle açıklayan video hazırlanır.
Öğrencilerin farklı teknolojik gelişmelerin toplum hayatına etkilerini keşfetmelerini sağlayacak etkileşimli içerik hazırlanır.";;
18;5;Sosyal Bilgiler 5;6. TEKNOLOJİ ve SOSYAL BİLİMLER;SB.5.6.2. Teknolojik ürünlerin bilinçli kullanımının önemine ilişkin ürün oluşturabilme;Video/Etkileşimli İçerik;"Teknolojik ürünlerin bilinçli kullanımının önemini anlatan bir animasyon video hazırlanır.
Teknolojik ürünlerin bilinçli kullanımının önemini vurgulayan, olumlu ve olumsuz kullanım örnekleri veren ve sorular içeren etkileşimli içerik hazırlanır.";;
